working,lot,year,collectible,edition,name,condition,uncleaned
"Strip Mine, No Horizon",,1994,Magic The Gathering,Antiquities,"Strip Mine, No Horizon",BGS 9.5 (PWCC),"1994 Magic The Gathering MTG Antiquities Strip Mine, No Horizon BGS 9.5 (PWCC)"
Tawnos's Wand,,1994,Magic The Gathering,Antiquities,Tawnos's Wand,U3 A PSA 8 NM-MT (PWCC),1994 Magic The Gathering MTG Antiquities Tawnos's Wand U3 A PSA 8 NM-MT (PWCC)
Tawnos's Weaponry,,1994,Magic The Gathering,Antiquities,Tawnos's Weaponry,U3 APSA 8 (PWCC),1994 Magic The Gathering MTG Antiquities Tawnos's Weaponry U3 APSA 8 (PWCC)
Transmute Artifact,,1994,Magic The Gathering,Antiquities,Transmute Artifact,U3 B PSA 2 GD (PWCC),1994 Magic The Gathering MTG Antiquities Transmute Artifact U3 B PSA 2 GD (PWCC)
Transmute Artifact,,1994,Magic The Gathering,Antiquities,Transmute Artifact,U3 B PSA 4 (PWCC),1994 Magic The Gathering MTG Antiquities Transmute Artifact U3 B PSA 4 (PWCC)
Transmute Artifact,,1994,Magic The Gathering,Antiquities,Transmute Artifact,U3 B BGS 9 MT (PWCC),1994 Magic The Gathering MTG Antiquities Transmute Artifact U3 B BGS 9 MT (PWCC)
Urza's Mine Tower,,1994,Magic The Gathering,Antiquities,Urza's Mine Tower,C2 L BGS 9.5 (PWCC),1994 Magic The Gathering MTG Antiquities Urza's Mine Tower C2 L BGS 9.5 (PWCC)
Urza's Power Plant Bug,,1994,Magic The Gathering,Antiquities,Urza's Power Plant Bug,C2 L BGS 9.5 (PWCC),1994 Magic The Gathering Antiquities Urza's Power Plant Bug C2 L BGS 9.5 (PWCC)
Urza's Power Plant Sphere,,1994,Magic The Gathering,Antiquities,Urza's Power Plant Sphere,BGS 9.5 (PWCC),1994 Magic The Gathering Antiquities Urza's Power Plant Sphere BGS 9.5 (PWCC)
Urza's Tower Mountains,,1994,Magic The Gathering,Antiquities,Urza's Tower Mountains,C1 L BGS 9.5 (PWCC),1994 Magic The Gathering Antiquities Urza's Tower Mountains C1 L BGS 9.5 (PWCC)
Wall Of Spears,,1994,Magic The Gathering,Antiquities,Wall Of Spears,U3 A PSA 5 EX (PWCC),1994 Magic The Gathering MTG Antiquities Wall Of Spears U3 A PSA 5 EX (PWCC)
Weakstone,,1994,Magic The Gathering,Antiquities,Weakstone,U3 A BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Antiquities Weakstone U3 A BGS 9.5 GEM MINT (PWCC)
Yotian Soldier,,1994,Magic The Gathering,Antiquities,Yotian Soldier,C4 A BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Antiquities Yotian Soldier C4 A BGS 9 MINT (PWCC)
Urza's Chalice,,1994,Magic The Gathering,Antiquities,Urza's Chalice,C4 A PSA 4 VGEX (PWCC),1994 Magic The Gathering MTG Antiquities Urza's Chalice C4 A PSA 4 VGEX (PWCC)
Acid Rain,,1994,Magic The Gathering,Legends,Acid Rain,R B BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Acid Rain R B BGS 8.5 NM-MT+ (PWCC)
Adun Oakenshield,,1994,Magic The Gathering,Legends,Adun Oakenshield,R D BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Adun Oakenshield R D BGS 9 MINT (PWCC)
Akron Legionnaire,,1994,Magic The Gathering,Legends,Akron Legionnaire,R W BGS 9.5 GEM MT (PWCC),1994 Magic The Gathering MTG Legends Akron Legionnaire R W BGS 9.5 GEM MT (PWCC)
All Hallow's Eve,,1994,Magic The Gathering,Legends,All Hallow's Eve,R K BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends All Hallow's Eve R K BGS 8.5 NM-MT+ (PWCC)
Angelic Voices,,1994,Magic The Gathering,Legends,Angelic Voices,R W BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Angelic Voices R W BGS 9.5 GEM MINT (PWCC)
Arcades Sabboth,,1994,Magic The Gathering,Legends,Arcades Sabboth,R D BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Arcades Sabboth R D BGS 9 MINT (PWCC)
Azure Drake,,1994,Magic The Gathering,Legends,Azure Drake,U B BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Azure Drake U B BGS 9.5 GEM MINT (PWCC)
Dakkon Blackblade,,1994,Magic The Gathering,Legends,Dakkon Blackblade,R D BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Dakkon Blackblade R D BGS 9 MINT (PWCC)
Elven Riders,,1994,Magic The Gathering,Legends,Elven Riders,R G BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Elven Riders R G BGS 9.5 GEM MINT (PWCC)
Eureka,,1994,Magic The Gathering,Legends,Eureka,R G AUTO BAS BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Eureka R G AUTO BAS BGS 9 MINT (PWCC)
Gravity Sphere,,1994,Magic The Gathering,Legends,Gravity Sphere,R R BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Gravity Sphere R R BGS 8.5 NM-MT+ (PWCC)
Gwendlyn Di Corci,,1994,Magic The Gathering,Legends,Gwendlyn Di Corci,R D BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Gwendlyn Di Corci R D BGS 9 MINT (PWCC)
Gwendlyn Di Corci,,1994,Magic The Gathering,Legends,Gwendlyn Di Corci,R D BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Gwendlyn Di Corci R D BGS 9 MINT (PWCC)
Invoke Prejudice,,1994,Magic The Gathering,Legends,Invoke Prejudice,R B BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Invoke Prejudice R B BGS 9 MINT (PWCC)
Karakas,,1994,Magic The Gathering,Legends,Karakas,U L BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Karakas U L BGS 8.5 NM-MT+ (PWCC)
Karakas,,1994,Magic The Gathering,Legends,Karakas,U L BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Karakas U L BGS 9.5 GEM MINT (PWCC)
Land Tax,,1994,Magic The Gathering,Legends,Land Tax,U W BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Land Tax U W BGS 8.5 NM-MT+ (PWCC)
Land Tax,,1994,Magic The Gathering,Legends,Land Tax,U W BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Land Tax U W BGS 8.5 NM-MT+ (PWCC)
Mana Drain,,1994,Magic The Gathering,Legends,Mana Drain,U B BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Mana Drain U B BGS 9 MINT (PWCC)
Mana Drain,,1994,Magic The Gathering,Legends,Mana Drain,U B PSA 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Mana Drain U B PSA 9 MINT (PWCC)
Moat,,1994,Magic The Gathering,Legends,Moat,R W BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Moat R W BGS 8.5 NM-MT+ (PWCC)
Nebuchadnezzar,,1994,Magic The Gathering,Legends,Nebuchadnezzar,R D BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Nebuchadnezzar R D BGS 9.5 GEM MINT (PWCC)
Psionic Entity,,1994,Magic The Gathering,Legends,Psionic Entity,R B BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Psionic Entity R B BGS 9.5 GEM MINT (PWCC)
Recall,,1994,Magic The Gathering,Legends,Recall,R B BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Recall R B BGS 9 MINT (PWCC)
Sylvan Library,,1994,Magic The Gathering,Legends,Sylvan Library,U G BGS 8.5 NM-MT+ (PWCC),1994 Magic The Gathering MTG Legends Sylvan Library U G BGS 8.5 NM-MT+ (PWCC)
Tabernacle At Pendrell Vale,,1994,Magic The Gathering,Legends,Tabernacle At Pendrell Vale,R L BGS 9.5 (PWCC),1994 Magic The Gathering Legends Tabernacle At Pendrell Vale R L BGS 9.5 (PWCC)
The Abyss,,1994,Magic The Gathering,Legends,The Abyss,R K BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends The Abyss R K BGS 9 MINT (PWCC)
Tuknir Deathlock,,1994,Magic The Gathering,Legends,Tuknir Deathlock,R D BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Tuknir Deathlock R D BGS 9 MINT (PWCC)
Underworld Dreams,,1994,Magic The Gathering,Legends,Underworld Dreams,U K BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Underworld Dreams U K BGS 9 MINT (PWCC)
Willow Satyr,,1994,Magic The Gathering,Legends,Willow Satyr,R G BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Willow Satyr R G BGS 9 MINT (PWCC)
Winds Of Change,,1994,Magic The Gathering,Legends,Winds Of Change,U R BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Legends Winds Of Change U R BGS 9 MINT (PWCC)
Winds Of Change,,1994,Magic The Gathering,Legends,Winds Of Change,U R BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Legends Winds Of Change U R BGS 9.5 GEM MINT (PWCC)
Edition Dual Land Badlands,,1994,Magic The Gathering,Revised,Edition Dual Land Badlands,R L BGS 6.5 (PWCC),1994 Magic The Gathering Revised Edition Dual Land Badlands R L BGS 6.5 (PWCC)
Edition Dual Land Badlands,,1994,Magic The Gathering,Revised,Edition Dual Land Badlands,R L BGS 8 (PWCC),1994 Magic The Gathering MTG Revised Edition Dual Land Badlands R L BGS 8 (PWCC)
Edition Dual Land Badlands,,1994,Magic The Gathering,Revised,Edition Dual Land Badlands,R L BGS 9 (PWCC),1994 Magic The Gathering MTG Revised Edition Dual Land Badlands R L BGS 9 (PWCC)
Edition Dual Land Badlands,,1994,Magic The Gathering,Revised,Edition Dual Land Badlands,R L BGS 9.5 (PWCC),1994 Magic The Gathering Revised Edition Dual Land Badlands R L BGS 9.5 (PWCC)
Edition Balance,,1994,Magic The Gathering,Revised,Edition Balance,R W BGS 9.5 GEM MINT (PWCC),1994 Magic The Gathering MTG Revised Edition Balance R W BGS 9.5 GEM MINT (PWCC)
Edition Dual Land Bayou,,1994,Magic The Gathering,Revised,Edition Dual Land Bayou,R L BGS 6 (PWCC),1994 Magic The Gathering MTG Revised Edition Dual Land Bayou R L BGS 6 (PWCC)
Edition Dual Land Bayou,,1994,Magic The Gathering,Revised,Edition Dual Land Bayou,R L BGS 8.5 (PWCC),1994 Magic The Gathering MTG Revised Edition Dual Land Bayou R L BGS 8.5 (PWCC)
Edition Dual Land Bayou,,1994,Magic The Gathering,Revised,Edition Dual Land Bayou,R L BGS 9 MT (PWCC),1994 Magic The Gathering MTG Revised Edition Dual Land Bayou R L BGS 9 MT (PWCC)
Edition Birds Of Paradise,,1994,Magic The Gathering,Revised,Edition Birds Of Paradise,R BGS 8.5 (PWCC),1994 Magic The Gathering MTG Revised Edition Birds Of Paradise R BGS 8.5 (PWCC)
Edition Demonic Hordes,,1994,Magic The Gathering,Revised,Edition Demonic Hordes,R K BGS 9.5 (PWCC),1994 Magic The Gathering MTG Revised Edition Demonic Hordes R K BGS 9.5 (PWCC)
Edition Demonic Tutor,,1994,Magic The Gathering,Revised,Edition Demonic Tutor,U K BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Revised Edition Demonic Tutor U K BGS 9 MINT (PWCC)
Edition Fastbond,,1994,Magic The Gathering,Revised,Edition Fastbond,R G BGS 9 MINT (PWCC),1994 Magic The Gathering MTG Revised Edition Fastbond R G BGS 9 MINT (PWCC)
Animate Artifact,,1993,Magic The Gathering,Alpha,Animate Artifact,U B BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Animate Artifact U B BGS 8 NM-MT (PWCC)
Animate Dead,,1993,Magic The Gathering,Alpha,Animate Dead,U K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Animate Dead U K BGS 9 MINT (PWCC)
Animate Dead,,1993,Magic The Gathering,Alpha,Animate Dead,U K PSA 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Animate Dead U K PSA 9 MINT (PWCC)
Ankh Of Mishra,,1993,Magic The Gathering,Alpha,Ankh Of Mishra,R A BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Ankh Of Mishra R A BGS 7.5 NRMT+ (PWCC)
Armageddon,,1993,Magic The Gathering,Alpha,Armageddon,R W BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Armageddon R W BGS 8.5 NM-MT+ (PWCC)
Aspect Of Wolf,,1993,Magic The Gathering,Alpha,Aspect Of Wolf,R G BGS 4.5 VGEX+ (PWCC),1993 Magic The Gathering MTG Alpha Aspect Of Wolf R G BGS 4.5 VGEX+ (PWCC)
Bad Moon,,1993,Magic The Gathering,Alpha,Bad Moon,R K BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Bad Moon R K BGS 8.5 NM-MT+ (PWCC)
Berserk,,1993,Magic The Gathering,Alpha,Berserk,U G BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Berserk U G BGS 8.5 NM-MT+ (PWCC)
Black Lotus,,1993,Magic The Gathering,Alpha,Black Lotus,R A BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Black Lotus R A BGS 9 MINT (PWCC)
Black Ward,,1993,Magic The Gathering,Alpha,Black Ward,U W BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Black Ward U W BGS 7.5 NRMT+ (PWCC)
Black Ward,,1993,Magic The Gathering,Alpha,Black Ward,U W BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Black Ward U W BGS 9 MINT (PWCC)
Blessing,,1993,Magic The Gathering,Alpha,Blessing,R W BGS 9.5 GEM MINT (PWCC),1993 Magic The Gathering MTG Alpha Blessing R W BGS 9.5 GEM MINT (PWCC)
Blue Elemental Blast,,1993,Magic The Gathering,Alpha,Blue Elemental Blast,C B BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Blue Elemental Blast C B BGS 7.5 NRMT+ (PWCC)
Blue Ward,,1993,Magic The Gathering,Alpha,Blue Ward,U W BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Blue Ward U W BGS 8 NM-MT (PWCC)
Bog Wraith,,1993,Magic The Gathering,Alpha,Bog Wraith,U K BGS 7 NRMT (PWCC),1993 Magic The Gathering MTG Alpha Bog Wraith U K BGS 7 NRMT (PWCC)
Bog Wraith,,1993,Magic The Gathering,Alpha,Bog Wraith,U K BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Bog Wraith U K BGS 8.5 NM-MT+ (PWCC)
Black Knight,,1993,Magic The Gathering,Alpha,Black Knight,U K BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Black Knight U K BGS 8 NM-MT (PWCC)
Braingeyser,,1993,Magic The Gathering,Alpha,Braingeyser,R B BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Braingeyser R B BGS 7.5 NRMT+ (PWCC)
Braingeyser,,1993,Magic The Gathering,Alpha,Braingeyser,R B BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Braingeyser R B BGS 9 MINT (PWCC)
Burrowing,,1993,Magic The Gathering,Alpha,Burrowing,U R BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Burrowing U R BGS 7.5 NRMT+ (PWCC)
Camouflage,,1993,Magic The Gathering,Alpha,Camouflage,U G BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Camouflage U G BGS 8 NM-MT (PWCC)
Camouflage,,1993,Magic The Gathering,Alpha,Camouflage,U G BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Camouflage U G BGS 9 MINT (PWCC)
Channel,,1993,Magic The Gathering,Alpha,Channel,U G BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Channel U G BGS 7.5 NRMT+ (PWCC)
Chaos Orb,,1993,Magic The Gathering,Alpha,Chaos Orb,R A BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Chaos Orb R A BGS 8 NM-MT (PWCC)
Chaos Orb,,1993,Magic The Gathering,Alpha,Chaos Orb,R A BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Chaos Orb R A BGS 9 MINT (PWCC)
Chaoslace,,1993,Magic The Gathering,Alpha,Chaoslace,R R BGS 6 EXMT (PWCC),1993 Magic The Gathering MTG Alpha Chaoslace R R BGS 6 EXMT (PWCC)
Circle Of Protection Blue,,1993,Magic The Gathering,Alpha,Circle Of Protection Blue,C W PSA 4 (PWCC),1993 Magic The Gathering MTG Alpha Circle Of Protection Blue C W PSA 4 (PWCC)
Circle Of Protection Blue,,1993,Magic The Gathering,Alpha,Circle Of Protection Blue,C W BGS 8.5 (PWCC),1993 Magic The Gathering MTG Alpha Circle Of Protection Blue C W BGS 8.5 (PWCC)
Circle Of Protection Green,,1993,Magic The Gathering,Alpha,Circle Of Protection Green,C W BGS 9 (PWCC),1993 Magic The Gathering MTG Alpha Circle Of Protection Green C W BGS 9 (PWCC)
Circle Of Protection Red,,1993,Magic The Gathering,Alpha,Circle Of Protection Red,C W BGS 7 (PWCC),1993 Magic The Gathering MTG Alpha Circle Of Protection Red C W BGS 7 (PWCC)
Circle Of Protection Red,,1993,Magic The Gathering,Alpha,Circle Of Protection Red,C W BGS 9 MT (PWCC),1993 Magic The Gathering MTG Alpha Circle Of Protection Red C W BGS 9 MT (PWCC)
Circle Of Protection White,,1993,Magic The Gathering,Alpha,Circle Of Protection White,C W BGS 8.5 (PWCC),1993 Magic The Gathering MTG Alpha Circle Of Protection White C W BGS 8.5 (PWCC)
Clockwork Beast,,1993,Magic The Gathering,Alpha,Clockwork Beast,R A BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Clockwork Beast R A BGS 8.5 NM-MT+ (PWCC)
Clone,,1993,Magic The Gathering,Alpha,Clone,U B BGS 7 NRMT (PWCC),1993 Magic The Gathering MTG Alpha Clone U B BGS 7 NRMT (PWCC)
Cockatrice,,1993,Magic The Gathering,Alpha,Cockatrice,R G BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Cockatrice R G BGS 8 NM-MT (PWCC)
Contract From Below,,1993,Magic The Gathering,Alpha,Contract From Below,R K BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Contract From Below R K BGS 8.5 NM-MT+ (PWCC)
Control Magic,,1993,Magic The Gathering,Alpha,Control Magic,U B BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Control Magic U B BGS 9 MINT (PWCC)
Craw Wurm,,1993,Magic The Gathering,Alpha,Craw Wurm,C G BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Craw Wurm C G BGS 7.5 NRMT+ (PWCC)
Craw Wurm,,1993,Magic The Gathering,Alpha,Craw Wurm,C G BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Craw Wurm C G BGS 9 MINT (PWCC)
Craw Wurm,,1993,Magic The Gathering,Alpha,Craw Wurm,C G PSA 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Craw Wurm C G PSA 9 MINT (PWCC)
Creature Bond,,1993,Magic The Gathering,Alpha,Creature Bond,C B BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Creature Bond C B BGS 8 NM-MT (PWCC)
Creature Bond,,1993,Magic The Gathering,Alpha,Creature Bond,C B BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Creature Bond C B BGS 8.5 NM-MT+ (PWCC)
Creature Bond,,1993,Magic The Gathering,Alpha,Creature Bond,C B BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Creature Bond C B BGS 9 MINT (PWCC)
Crusade,,1993,Magic The Gathering,Alpha,Crusade,R W BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Crusade R W BGS 9 MINT (PWCC)
Crystal Rod,,1993,Magic The Gathering,Alpha,Crystal Rod,U A BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Crystal Rod U A BGS 8.5 NM-MT+ (PWCC)
Dark Ritual,,1993,Magic The Gathering,Alpha,Dark Ritual,C K BGS 6 EXMT (PWCC),1993 Magic The Gathering MTG Alpha Dark Ritual C K BGS 6 EXMT (PWCC)
Darkpact,,1993,Magic The Gathering,Alpha,Darkpact,R K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Darkpact R K BGS 9 MINT (PWCC)
Death Ward,,1993,Magic The Gathering,Alpha,Death Ward,C W BGS 7 NRMT (PWCC),1993 Magic The Gathering MTG Alpha Death Ward C W BGS 7 NRMT (PWCC)
Death Ward,,1993,Magic The Gathering,Alpha,Death Ward,C W BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Death Ward C W BGS 9 MINT (PWCC)
Deathgrip,,1993,Magic The Gathering,Alpha,Deathgrip,U K BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Deathgrip U K BGS 8 NM-MT (PWCC)
Deathgrip,,1993,Magic The Gathering,Alpha,Deathgrip,U K BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Deathgrip U K BGS 8.5 NM-MT+ (PWCC)
Deathlace,,1993,Magic The Gathering,Alpha,Deathlace,R K BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Deathlace R K BGS 8.5 NM-MT+ (PWCC)
Demonic Attorney,,1993,Magic The Gathering,Alpha,Demonic Attorney,R K BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Demonic Attorney R K BGS 7.5 NRMT+ (PWCC)
Demonic Attorney,,1993,Magic The Gathering,Alpha,Demonic Attorney,R K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Demonic Attorney R K BGS 9 MINT (PWCC)
Demonic Hordes,,1993,Magic The Gathering,Alpha,Demonic Hordes,R K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Demonic Hordes R K BGS 9 MINT (PWCC)
Demonic Tutor,,1993,Magic The Gathering,Alpha,Demonic Tutor,U K PSA 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Demonic Tutor U K PSA 8 NM-MT (PWCC)
Demonic Tutor,,1993,Magic The Gathering,Alpha,Demonic Tutor,U K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Demonic Tutor U K BGS 9 MINT (PWCC)
Dingus Egg,,1993,Magic The Gathering,Alpha,Dingus Egg,R A BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Dingus Egg R A BGS 9 MINT (PWCC)
Disenchant,,1993,Magic The Gathering,Alpha,Disenchant,C W BGS 7 NRMT (PWCC),1993 Magic The Gathering MTG Alpha Disenchant C W BGS 7 NRMT (PWCC)
Disintegrate,,1993,Magic The Gathering,Alpha,Disintegrate,C R BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Disintegrate C R BGS 8 NM-MT (PWCC)
Disintegrate,,1993,Magic The Gathering,Alpha,Disintegrate,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Disintegrate C R BGS 9 MINT (PWCC)
Disintegrate,,1993,Magic The Gathering,Alpha,Disintegrate,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Disintegrate C R BGS 9 MINT (PWCC)
Disrupting Scepter,,1993,Magic The Gathering,Alpha,Disrupting Scepter,R A BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Disrupting Scepter R A BGS 8.5 NM-MT+ (PWCC)
Disrupting Scepter,,1993,Magic The Gathering,Alpha,Disrupting Scepter,R A AUTO BGS 9.5 (PWCC),1993 Magic The Gathering MTG Alpha Disrupting Scepter R A AUTO BGS 9.5 (PWCC)
Dragon Whelp,,1993,Magic The Gathering,Alpha,Dragon Whelp,U R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Dragon Whelp U R BGS 9 MINT (PWCC)
Drain Life,,1993,Magic The Gathering,Alpha,Drain Life,C K BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Drain Life C K BGS 8 NM-MT (PWCC)
Drain Power,,1993,Magic The Gathering,Alpha,Drain Power,R B BGS 6.5 EXMT+ (PWCC),1993 Magic The Gathering MTG Alpha Drain Power R B BGS 6.5 EXMT+ (PWCC)
Drain Power,,1993,Magic The Gathering,Alpha,Drain Power,R B BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Drain Power R B BGS 8 NM-MT (PWCC)
Drain Power,,1993,Magic The Gathering,Alpha,Drain Power,R B BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Drain Power R B BGS 9 MINT (PWCC)
Drudge Skeletons,,1993,Magic The Gathering,Alpha,Drudge Skeletons,C K BGS 6.5 EXMT+ (PWCC),1993 Magic The Gathering MTG Alpha Drudge Skeletons C K BGS 6.5 EXMT+ (PWCC)
Dwarven Warriors,,1993,Magic The Gathering,Alpha,Dwarven Warriors,C R BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Dwarven Warriors C R BGS 7.5 NRMT+ (PWCC)
Dwarven Warriors,,1993,Magic The Gathering,Alpha,Dwarven Warriors,C R BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Dwarven Warriors C R BGS 8.5 NM-MT+ (PWCC)
Dwarven Warriors,,1993,Magic The Gathering,Alpha,Dwarven Warriors,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Dwarven Warriors C R BGS 9 MINT (PWCC)
Dwarven Warriors,,1993,Magic The Gathering,Alpha,Dwarven Warriors,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Dwarven Warriors C R BGS 9 MINT (PWCC)
Dwarven Warriors,,1993,Magic The Gathering,Alpha,Dwarven Warriors,C R PSA 10 GEM MINT (PWCC),1993 Magic The Gathering MTG Alpha Dwarven Warriors C R PSA 10 GEM MINT (PWCC)
Earth Elemental,,1993,Magic The Gathering,Alpha,Earth Elemental,U R BGS 7 NRMT (PWCC),1993 Magic The Gathering MTG Alpha Earth Elemental U R BGS 7 NRMT (PWCC)
Earthbind,,1993,Magic The Gathering,Alpha,Earthbind,C R BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Alpha Earthbind C R BGS 7.5 NRMT+ (PWCC)
Earthbind,,1993,Magic The Gathering,Alpha,Earthbind,C R BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Earthbind C R BGS 8.5 NM-MT+ (PWCC)
Elvish Archers,,1993,Magic The Gathering,Alpha,Elvish Archers,R G BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Elvish Archers R G BGS 8.5 NM-MT+ (PWCC)
Elvish Archers,,1993,Magic The Gathering,Alpha,Elvish Archers,R G BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Elvish Archers R G BGS 9 MINT (PWCC)
Evil Presence,,1993,Magic The Gathering,Alpha,Evil Presence,U K BGS 8 NM-MT (PWCC),1993 Magic The Gathering MTG Alpha Evil Presence U K BGS 8 NM-MT (PWCC)
Evil Presence,,1993,Magic The Gathering,Alpha,Evil Presence,U K BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Alpha Evil Presence U K BGS 8.5 NM-MT+ (PWCC)
Fastbond,,1993,Magic The Gathering,Alpha,Fastbond,R G BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Alpha Fastbond R G BGS 9 MINT (PWCC)
