working,lot,year,collectible,edition,name,condition,uncleaned
Mana Drain,,1994,Magic The Gathering,Legends,Mana Drain,U B BGS 8.5 NM-MT+,1994 Magic The Gathering MTG Legends Mana Drain U B BGS 8.5 NM-MT+
Edition Copy Artifact,,1994,Magic The Gathering,Revised,Edition Copy Artifact,R B BGS 9.5 GEM MINT,1994 Magic The Gathering MTG Revised Edition Copy Artifact R B BGS 9.5 GEM MINT
Edition Mana Vault,,1994,Magic The Gathering,Revised,Edition Mana Vault,R A BGS 9 MINT,1994 Magic The Gathering MTG Revised Edition Mana Vault R A BGS 9 MINT
Time Walk,,1993,Magic The Gathering,Alpha,Time Walk,R B PSA 9 MINT,1993 Magic The Gathering MTG Alpha Time Walk R B PSA 9 MINT
Lord Of The Pit,,1993,Magic The Gathering,Unlimited,Lord Of The Pit,R K BGS 9.5 GEM MT,1993 Magic The Gathering MTG Unlimited Lord Of The Pit R K BGS 9.5 GEM MT
Pirate Ship,,1994,Magic The Gathering,Summer Edition,Pirate Ship,R B BGS 9.5 GEM MINT,1994 Magic The Gathering MTG Summer Edition Pirate Ship R B BGS 9.5 GEM MINT
Roc Of Kher Ridges,,1994,Magic The Gathering,Summer Edition,Roc Of Kher Ridges,R R BGS 9.5 GEM,1994 Magic The Gathering MTG Summer Edition Roc Of Kher Ridges R R BGS 9.5 GEM
Helm Of Chatzuk,,1993,Magic The Gathering,Beta,Helm Of Chatzuk,R A BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Beta Helm Of Chatzuk R A BGS 8.5 NM-MT+ (PWCC)
Lightning Bolt,,1993,Magic The Gathering,Beta,Lightning Bolt,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Beta Lightning Bolt C R BGS 9 MINT (PWCC)
Righteousness,,1993,Magic The Gathering,Beta,Righteousness,R W BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Beta Righteousness R W BGS 8.5 NM-MT+ (PWCC)
Dwarven Warriors,,1993,Magic The Gathering,Beta,Dwarven Warriors,C R BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Beta Dwarven Warriors C R BGS 8.5 NM-MT+ (PWCC)
Fear,,1993,Magic The Gathering,Beta,Fear,C K BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Beta Fear C K BGS 9 MINT (PWCC)
Firebreathing,,1993,Magic The Gathering,Beta,Firebreathing,C R BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Beta Firebreathing C R BGS 7.5 NRMT+ (PWCC)
Gray Ogre,,1993,Magic The Gathering,Beta,Gray Ogre,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Beta Gray Ogre C R BGS 9 MINT (PWCC)
Grizzly Bears,,1993,Magic The Gathering,Beta,Grizzly Bears,C G BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Beta Grizzly Bears C G BGS 9 MINT (PWCC)
Howl From Beyond,,1993,Magic The Gathering,Beta,Howl From Beyond,C K BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Beta Howl From Beyond C K BGS 7.5 NRMT+ (PWCC)
Ironclaw Orcs,,1993,Magic The Gathering,Beta,Ironclaw Orcs,C R BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Beta Ironclaw Orcs C R BGS 9 MINT (PWCC)
Ironroot Treefolk,,1993,Magic The Gathering,Beta,Ironroot Treefolk,C G BGS 8.5 NM-MT+ (PWCC),1993 Magic The Gathering MTG Beta Ironroot Treefolk C G BGS 8.5 NM-MT+ (PWCC)
Phantom Monster,,1993,Magic The Gathering,Beta,Phantom Monster,U B BGS 7.5 NRMT+ (PWCC),1993 Magic The Gathering MTG Beta Phantom Monster U B BGS 7.5 NRMT+ (PWCC)
Regeneration,,1993,Magic The Gathering,Beta,Regeneration,C G BGS 9 MINT (PWCC),1993 Magic The Gathering MTG Beta Regeneration C G BGS 9 MINT (PWCC)
